"1-комн. квартира, 46 м2, 5/5 эт.",2 636 000 РУБ.,57 304 РУБ. за м2,"Республика Татарстан, Казань, Времена года Приволжский район, Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257793335
"1-комн. квартира, 42 м2, 2/6 эт.",2 500 000 РУБ.,59 524 РУБ. за м2,"Г.Иннополис, Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-173973650
"1-комн. квартира, 49 м2, 12/16 эт.",2 943 000 РУБ.,60 061 РУБ. за м2,"Мавлютова 3, Приволжский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-256778286
"1-комн. квартира, 43 м2, 10/23 эт.",2 670 000 РУБ.,62 093 РУБ. за м2,"Братьев Баталловых улица, 5\2, Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258205731
"1-комн. квартира, 44 м2, 9/12 эт.",2 780 000 РУБ.,63 182 РУБ. за м2,"ул Аделя Кутуя, Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-254538940
"1-комн. квартира, 45 м2, 6/25 эт.",2 850 000 РУБ.,63 333 РУБ. за м2,"ул. Отрадная, 1 очередь, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-184536994
"1-комн. квартира, 39 м2, 2/10 эт.",2 500 000 РУБ.,64 103 РУБ. за м2,"Республика Татарстан, Казань, Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257771875
"1-комн. квартира, 39 м2, 5/9 эт.",2 550 000 РУБ.,65 385 РУБ. за м2,"ул 33 военный городок ,  12, Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-194485479
"1-комн. квартира, 39.8 м2, 17/19 эт.",2 609 650 РУБ.,65 569 РУБ. за м2,"Республика Татарстан, Казань, улица Аметьевская Магистраль, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258242665
"1-комн. квартира, 44 м2, 16/25 эт.",2 893 800 РУБ.,65 768 РУБ. за м2,"ул. Отрадная, ЖК «Легенда», Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-196321792
"1-комн. квартира, 39.4 м2, 10/23 эт.",2 600 400 РУБ.,66 000 РУБ. за м2,"Республика Татарстан, Казань, улица Аметьевская Магистраль, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257446334
"1-комн. квартира, 39.4 м2, 10/23 эт.",2 600 400 РУБ.,66 000 РУБ. за м2,"Республика Татарстан, Казань, улица Аметьевская Магистраль, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257613462
"1-комн. квартира, 39.1 м2, 17/23 эт.",2 616 000 РУБ.,66 905 РУБ. за м2,"Республика Татарстан, Казань, Советский район, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258167490
"1-комн. квартира, 40.7 м2, 3/22 эт.",2 770 000 РУБ.,68 059 РУБ. за м2,"Казань, Республика Татарстан, улица Родины, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-212053318
"1-комн. квартира, 43 м2, 7/16 эт.",2 930 000 РУБ.,68 140 РУБ. за м2,"Краснококшайская 84 корпус г, Московский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-253794942
"1-комн. квартира, 38.6 м2, 6/19 эт.",2 640 560 РУБ.,68 408 РУБ. за м2,"п. Салмачи, ул. Завойского, ЖК «Малиновка», Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257992783
"1-комн. квартира, 39.5 м2, 7/19 эт.",2 706 416 РУБ.,68 517 РУБ. за м2,"п. Салмачи, ул. Завойского, ЖК «Малиновка», Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257992751
"1-комн. квартира, 41.2 м2, 13/16 эт.",2 890 000 РУБ.,70 146 РУБ. за м2,"Республика Татарстан, Казань, Советский район, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-238732669
"1-комн. квартира, 41.2 м2, 13/18 эт.",2 910 000 РУБ.,70 631 РУБ. за м2,"ул. Родины, Дом 1, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257906974
"1-комн. квартира, 41 м2, 11/19 эт.",2 900 000 РУБ.,70 732 РУБ. за м2,"ул. Родины, Дом 1, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257396923
"1-комн. квартира, 41 м2, 14/19 эт.",2 910 000 РУБ.,70 976 РУБ. за м2,"ул. Родины, Дом 1, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-256551356
"1-комн. квартира, 38 м2, 19/20 эт.",2 700 000 РУБ.,71 053 РУБ. за м2,"ул. Родины, Жилые дома, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-255515395
"1-комн. квартира, 37.7 м2, 18/19 эт.",2 680 000 РУБ.,71 088 РУБ. за м2,"ул. Родины, Дом 1, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258277024
"1-комн. квартира, 40 м2, 10/12 эт.",2 850 000 РУБ.,71 250 РУБ. за м2,"Аделя Кутуя улица, 108\1, Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257987099
"1-комн. квартира, 41.2 м2, 11/19 эт.",2 970 000 РУБ.,72 087 РУБ. за м2,"ул. Родины, Дом 1, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-258196296
"1-комн. квартира, 34.8 м2, 8/9 эт.",2 550 000 РУБ.,73 276 РУБ. за м2,"Дачная (Приволжский р-н) 1, Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-230761973
"1-комн. квартира, 38 м2, 6/19 эт.",2 790 000 РУБ.,73 421 РУБ. за м2,"Казань, Республика Татарстан, улица Родины, 24А, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257986750
"1-комн. квартира, 35 м2, 12/13 эт.",2 570 000 РУБ.,73 429 РУБ. за м2,"Республика Татарстан, Казань, Тэцевская улица, 4, Вахитовский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257626290
"1-комн. квартира, 37.5 м2, 12/18 эт.",2 760 000 РУБ.,73 600 РУБ. за м2,"ул. Родины, Дом 1, Советский, Казань, Татарстан",https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kazan-257904025
